"ID","Username","Date","Time","Quote","Hero","Game","Map","Player.Title","Spotted.by","Notes","Year","Month","Day","Hour","Minute"
329,"BootyBayJay",2023-10-20,09:58:00,"""855-427-9896 and find out"" ""bitches be fine with a little sass on them""","N/A","Overwatch","N/A","N/A","Sqweryl","2nd Lijang tower, kiriko. 3rd 24oct2023",2023,"Oct","Fri",9,"58"
330,"THEGREATJAY",2023-10-20,13:41:00,NA,"N/A","Overwatch","New Queen Street","Neogun","Sqweryl","Neogun, DPS, New Queen St",2023,"Oct","Fri",13,"41"
331,"Jaycee",2023-10-20,14:31:00,"""you do not""","Reinhardt","Overwatch","Samoa","Scholar","Seb","Rein player, scholar nametag",2023,"Oct","Fri",14,"31"
332,"Jayce",2023-10-20,15:43:00,"""r u ok""","Moira","Overwatch","Gibraltar","None","Richard","Moira, Gibraltar, support no name tag",2023,"Oct","Fri",15,"43"
333,"Jtarts",2023-10-20,16:06:00,"""i'm really bad""","Sombra","Overwatch","Esperanca","Hero of the Light","Richard","Sombra, Hero of the light, esperanca, ana owl icon",2023,"Oct","Fri",16,"06"
334,"MJ1427",2023-10-21,18:58:00,NA,"Ana","Overwatch","Dorado","N/A","Richard","Ana player in the weirdest qp MRR i've ever been in",2023,"Oct","Sat",18,"58"
335,"DESPERADOGPJ",2023-10-21,13:58:00,NA,"Junker Queen","Overwatch","Blizzard World","Nomad","Richard","Junkerqueen nomad blizzard world",2023,"Oct","Sat",13,"58"
336,"JAYLENALWAYS",2023-10-22,17:30:00,NA,"Tracer","Overwatch","Circuit Royale","Cupid's Arrow","Richard","Circuit royale, Cupid's arrow, lvl 3 endorsement, baptiste",2023,"Oct","Sun",17,"30"
337,"JLee",2023-10-23,13:02:00,"""gg""","N/A","Overwatch","N/A","N/A","Richard",NA,2023,"Oct","Mon",13,"02"
338,"jflux",2023-10-24,17:26:00,"""to be or not to be""","N/A","Overwatch","New Junk City","Graverobber","Richard","New Junk City, grave robber, respot 09/16/2024",2023,"Oct","Tue",17,"26"
339,"JT3SWIFT",2023-10-25,15:59:00,NA,"Ashe","Overwatch","Eichenwalde","N/A","Richard","Infection custom game.",2023,"Oct","Wed",15,"59"
340,"snowjay",2023-10-25,17:47:00,"""LOST is the best show of all time""","Widowmaker","Overwatch","Circuit Royale","N/A","Richard","Circuit Royal, 2nd 2023-12-14",2023,"Oct","Wed",17,"47"
341,"JuggernautJB",2023-10-26,09:42:00,"""my initials""","D.VA","Overwatch","King's Row","None","Seb","King's row, DVA, no player title",2023,"Oct","Thu",9,"42"
342,"STINGEMANINJ",2023-10-27,06:36:00,"""stingy man j""","Soldier","Overwatch","Petra","N/A","Seb","Team deathmatch",2023,"Oct","Fri",6,"36"
343,"jbake",2023-10-27,10:12:00,"""prepare to be stomped for the 5th game in a row and then rq""","N/A","Overwatch","N/A","N/A","Basileus",NA,2023,"Oct","Fri",10,"12"
344,"JPTrady",2023-10-27,15:46:00,"""yes :D""","N/A","Overwatch","Midtown","Hero of the Light","Richard","Midtown, Hero of the light, 2nd 2024-02-26",2023,"Oct","Fri",15,"46"
345,"JSAVESTHEDAY",2023-10-27,15:48:00,NA,"Roadhog","Overwatch","Ilios Well","N/A","Sqweryl","Custom game",2023,"Oct","Fri",15,"48"
346,"JTFUR",2023-10-27,16:26:00,NA,"Ashe","Overwatch","Blizzard World","Nomad","Vixx","Busan, Ashe, Nomad",2023,"Oct","Fri",16,"26"
347,"nitsuj",2023-10-27,17:21:00,"""Im a Jay""/""oh boy""","Tracer","Overwatch","Nepal","N/A","Vixx","ORIGINAL: 2023-10-07; On 2023-10-27: Gaslighted this dude into thinking he's a Jay variant. Friends with mesodarkskin -- needs to send me his birth certificate, 2023-11-08, 2023-11-09, 2024-02-09",2023,"Oct","Fri",17,"21"
348,"CrazyJ500",2023-10-29,09:28:00,"""ya thats me""","N/A","Overwatch","Antarctic Peninsula","Subjugator","Seb","Antarctica, subjugator",2023,"Oct","Sun",9,"28"
349,"AJProdigy",2023-10-29,13:49:00,"""YER""","Illari","Overwatch","Dorado","N/A","Vixx","Illari on Dorado",2023,"Oct","Sun",13,"49"
350,"IceJJfromWish",2023-10-29,17:18:00,"N/A","Drogoz","Paladins","N/A","Ruler of the Sandcastle","Vixx","",2023,"Oct","Sun",17,"18"
351,"JJMMCC",2023-10-30,09:54:00,NA,"Lifeweaver","Overwatch","N/A","Harbinger","Seb","Harbinger, Lifeweaver",2023,"Oct","Mon",9,"54"
352,"Jay",2023-10-30,09:54:00,NA,"Ana","Overwatch","N/A","Geneticist","Seb","Geneticist, Ana. Not really confirmed -- unique title.",2023,"Oct","Mon",9,"54"
353,"BlueJayCAM",2023-10-30,14:10:00,"""no""","N/A","Overwatch","Havana","Peasant","Richard","Peasant, Havana tank player, 2nd Shambali Monastery 2023-11-22, 3rd 2023-12-07",2023,"Oct","Mon",14,"10"
354,"JAYPEG",2023-10-30,16:47:00,NA,"Soldier","Overwatch","Necropolis","N/A","Richard","Custom game",2023,"Oct","Mon",16,"47"
355,"JVHEAT",2023-11-01,19:08:00,"N/A","Zhin","Paladins","N/A","Is ALWAYS AFK","verdantJay","",2023,"Nov","Wed",19,"08"
356,"MASSOJPG",2023-11-01,09:59:00,"""anything you want ;)""","N/A","Overwatch","New Junk City","Trickster","Seb","New Junk City, Trickster",2023,"Nov","Wed",9,"59"
357,"NEOARKAIDENJ",2023-11-01,17:30:00,"""gg""","N/A","Overwatch","Antarctic Peninsula","Rebel","Seb","Rebel, mystery heroes.",2023,"Nov","Wed",17,"30"
358,"JayDaBb",2023-11-02,05:52:00,"""twas smooth""","Lucio","Overwatch","Malevento","N/A","Seb","Custom game",2023,"Nov","Thu",5,"52"
359,"JF56",2023-11-02,06:10:00,"""sake!""","Hanzo","Overwatch","Malevento","N/A","Seb","Custom game",2023,"Nov","Thu",6,"10"
360,"Ceejay",2023-11-02,16:44:00,NA,"N/A","Overwatch","Kanecaka","N/A","Seb","Deathmatch",2023,"Nov","Thu",16,"44"
361,"JEYKOBUCH",2023-11-02,17:48:00,"""boop comp goes crazy""","N/A","Overwatch","Lijiang Tower","Slicer","Seb","Lijiang Tower, Slicer.",2023,"Nov","Thu",17,"48"
362,"JXACE",2023-11-04,09:05:00,NA,"N/A","Overwatch","Oasis","Conquerer","Sqweryl","Oasis, Conquerer.",2023,"Nov","Sat",9,"05"
363,"Rialto, Sage, Bastion. 2nd 20240922",2023-11-04,09:05:00,NA,"Bastion","Overwatch","Rialto","Sage","Sqweryl","Rialto, Sage, Bastion.",2023,"Nov","Sat",9,"05"
364,"JayNozbrie",2023-11-06,18:41:00,"N/A","Kiriko","Overwatch","Suravasa","N/A","Seb","Trickster, 3v3, 2nd 2024-07-15 Suravasa, 3rd 2024-08-01 Runisapi",2023,"Nov","Mon",18,"41"
365,"king420JAY",2023-11-06,14:46:00,"N/A","Torvald","Paladins","Magistrate's Archives","N/A","Vixx","",2023,"Nov","Mon",14,"46"
366,"jmbigbullet8",2023-11-06,14:56:00,"""if she if falt. and no cake her mother you shall take""","Ana","Overwatch","Antarctic Peninsula","None","Richard","Antarctic, no nametag, ana. 2nd 2023-11-09",2023,"Nov","Mon",14,"56"
367,"LJW1307",2023-11-06,15:14:00,NA,"N/A","Overwatch","N/A","Peasant","Seb","Peasant, 2nd 2023-12-05; Temptation",2023,"Nov","Mon",15,"14"
368,"JAYTOWN",2023-11-07,12:14:00,NA,"Soldier","Overwatch","New Queen Street","Grandmaster Role Challenger","Basileus","Midtown, Grandmaster role challenger",2023,"Nov","Tue",12,"14"
369,"JCRAIG8",2023-11-07,12:57:00,"“ramon you are ass like so dog cheeks""","N/A","Overwatch","N/A","Demigod","Seb","Demigod tag, LGBTQ namecard",2023,"Nov","Tue",12,"57"
370,"JJONES25",2023-11-08,08:02:00,NA,"Genji","Overwatch","Malevento","N/A","Seb","Deathmatch",2023,"Nov","Wed",8,"02"
371,"JZIMM3241",2023-11-08,10:30:00,"""gg""","Zarya","Overwatch","Ilios","Peasant","Seb","Peasant, Zarya, Illios",2023,"Nov","Wed",10,"30"
372,"jaylinj932",2023-11-09,16:34:00,"N/A","N/A","Paladins","N/A","Harbinger of the End","Vixx","",2023,"Nov","Thu",16,"34"
373,"JcVibez31",2023-11-12,19:47:00,"""trust is like an eraser, it gets smaller as it goes""","Brigitte","Overwatch","Eichenwalde","Titan","Richard","Titan",2023,"Nov","Sun",19,"47"
374,"JDankM",2023-11-13,06:03:00,"""oh ya big weed guy""","N/A","Overwatch","Petra","N/A","Seb","Deathmatch",2023,"Nov","Mon",6,"03"
375,"DiorJayNoel",2023-11-13,06:03:00,NA,"N/A","Overwatch","Gibraltar","N/A","Seb","Deathmatch",2023,"Nov","Mon",6,"03"
376,"JGReality",2023-11-13,12:50:00,"""it means sojourn so we journ""","Sojourn","Overwatch","Dorado","None","Seb","Skirmish Dorado",2023,"Nov","Mon",12,"50"
377,"JBO2002",2023-11-13,12:56:00,"""yuh""","N/A","Overwatch","New Junk City","Nomad","Richard","Nomad, DPS, New Junk City",2023,"Nov","Mon",12,"56"
378,"MANGOJT",2023-11-13,13:19:00,NA,"Widowmaker","Overwatch","New Junk City","Archmage","Seb","Archmage, skirmish",2023,"Nov","Mon",13,"19"
379,"JAELOL06",2023-11-13,13:32:00,NA,"N/A","Overwatch","Chateau Guillard","N/A","Seb","Deathmatch Chateau Guillard",2023,"Nov","Mon",13,"32"
380,"GUILLOSSJ",2023-11-13,13:51:00,NA,"Sojourn","Overwatch","Malevento","N/A","Seb","Deathmatch Malevento",2023,"Nov","Mon",13,"51"
381,"JBW2",2023-11-14,03:51:00,"""yes?"" ""np"" ","Roadhog","Overwatch","Paraiso","Adventurer","Seb","Paraíso, Adventurer, hog, 2nd sighting 2023-12-26, 3rd 2024-03-06 Havana, 4th 2023-03-13 Havana QP",2023,"Nov","Tue",3,"51"
382,"AJdoubleU",2023-11-14,13:32:00,"""Great question"" ""ツ""","N/A","Overwatch","Rialto","Cupid's Arrow","Richard","Cupid's Arrow, support, Rialto, 2nd sighting 2024-07-10 ",2023,"Nov","Tue",13,"32"
383,"JG303",2023-11-15,06:31:00,"""JAY GEEZ NUTS""","Roadhog","Overwatch","Blizzard World","N/A","Seb","Deathmatch, hog",2023,"Nov","Wed",6,"31"
384,"TBJ",2023-11-15,06:50:00,"""my initials""","D.VA","Overwatch","Colosseo","None","Seb","DVA, Colosseo, no nametag.",2023,"Nov","Wed",6,"50"
385,"NCTJAEHYUN",2023-11-15,10:34:00,"""maybe""","Echo","Overwatch","Busan","None","Seb","Skirmish, Busan",2023,"Nov","Wed",10,"34"
386,"JJTHEBOSS",2023-11-15,10:34:00,"""being ass at this game""","Wrecking Ball","Overwatch","Junkertown","Genji's Peace","Seb","Genji's Peace, Junkertown, Mystery heroes",2023,"Nov","Wed",10,"34"
387,"JAYMAYDAY",2023-11-15,16:29:00,"""i only fly chopper"" ""me reconocieron!""","Wrecking Ball","Overwatch","Blizzard World","Star Pilot","Seb","Star Pilot, Ball, Blizzard world, skirmish, 2nd 2023-12-06",2023,"Nov","Wed",16,"29"
388,"morrisony2j",2023-11-16,18:34:00,"N/A","Tyra","Paladins","Ascension Peak","N/A","Vixx","",2023,"Nov","Thu",18,"34"
389,"JAYV",2023-11-16,03:36:00,"""i'm jay gravy""","Winston","Overwatch","Kanezaka","N/A","Seb","Deathmatch Kenezaka, winston",2023,"Nov","Thu",3,"36"
390,"JayMo",2023-11-16,03:50:00,"""i guess he regretted playing this gam"" ""xD""","Soldier","Overwatch","Nepal","World Eater","Seb","World Eater, Soldier, Nepal",2023,"Nov","Thu",3,"50"
391,"JHOSAD",2023-11-16,04:16:00,"""j hoe sad""","Widowmaker","Overwatch","Havana","None","Seb","Widow, Havana, no nametag",2023,"Nov","Thu",4,"16"
392,"JTD21",2023-11-16,12:31:00,"N/A","Inara","Paladins","N/A","The Stone Warden","Vixx","",2023,"Nov","Thu",12,"31"
393,"jaykay",2023-11-16,13:09:00,"""in a loose term but not technically""","N/A","Overwatch","Dorado","N/A","Basileus","Dorado",2023,"Nov","Thu",13,"09"
394,"PEEJAY",2023-11-16,15:53:00,"""bet you've never had a pjbj before""","Reinhardt","Overwatch","Malevento","N/A","Seb","Rein, deathmatch, Malevento",2023,"Nov","Thu",15,"53"
395,"JAYCEY",2023-11-16,16:08:00,"""nope""","N/A","Overwatch","Samoa","Sentinel of Hades","Seb","Sentinel of Hades, Samoa, Mystery heroes 2nd 2023-12-14",2023,"Nov","Thu",16,"08"
396,"JTSlaughter",2023-11-17,09:28:00,"""whatever you want :)""","N/A","Overwatch","Junkertown","N/A","Basileus","Junkertown",2023,"Nov","Fri",9,"28"
397,"JDLina",2023-11-17,12:24:00,"""what""","Roadhog","Overwatch","Havana","Harbinger","Seb","Hog, Havana, Harbinger",2023,"Nov","Fri",12,"24"
398,"JAEJAE",2023-11-17,12:49:00,"""gg""","N/A","Overwatch","Junkertown","Peasant","Seb","Peasant, Junkertown, DPS",2023,"Nov","Fri",12,"49"
399,"AJTXRanger",2023-11-17,12:56:00,"""about $3.50""","N/A","Overwatch","Rialto","Trickster","Richard","Trickster, Tank, Rialto, Total mayhem",2023,"Nov","Fri",12,"56"
400,"Jmaru",2023-11-19,09:45:00,NA,"Winston","Overwatch","Workshop Chamber","Nomad","Richard","Nomad, Custom game",2023,"Nov","Sun",9,"45"
401,"TEEJAE",2023-11-19,13:40:00,NA,"Sojourn","Overwatch","New Queen Street","N/A","Richard","Moza's gf's game",2023,"Nov","Sun",13,"40"
402,"Mahzj",2023-11-20,18:05:00,"N/A","Ashe","Paladins","N/A","Is in disguise","Vixx","",2023,"Nov","Mon",18,"05"
403,"jjnite0",2023-11-20,18:12:00,"N/A","Willow","Paladins","Marauder's Port","N/A","Vixx","",2023,"Nov","Mon",18,"12"
404,"CJLionz",2023-11-20,04:02:00,"""fox""","Pharah","Overwatch","New Queen Street","Adventurer","Seb","Adventurer, skirmish, New Queen St",2023,"Nov","Mon",4,"02"
405,"JJJDRAGON31",2023-11-20,12:11:00,"""mmmm camel""","Roadhog","Overwatch","Colosseo","None","Seb","Hog, Skirmish, Colosseo, No name tag",2023,"Nov","Mon",12,"11"
406,"JAE",2023-11-20,15:10:00,"""아니요""","Sombra","Overwatch","Malevento","N/A","Seb","Sombra, Deathmatch, Malevento",2023,"Nov","Mon",15,"10"
407,"AJay",2023-11-20,17:37:00,"""if you change nothing then nothing changes"" ""damn I played with y'all last game and now i go against you?"" ""uhh maybe? idk"" ""ggs W team""","N/A","Overwatch","Suravasa","None","Richard","Suravasa, DPS, no name tag, 2nd 2024-05-20 Shambali Monastary",2023,"Nov","Mon",17,"37"
408,"jzrky",2023-11-21,07:32:00,"""what does that even mean""","N/A","Overwatch","Shambali Monestary","None","Seb","Shambali, DPS, no name tag",2023,"Nov","Tue",7,"32"
409,"jayceelives",2023-11-21,07:47:00,"""who the hell are even you""","N/A","Overwatch","Dorado","N/A","Seb","Deathmatch, Dorado",2023,"Nov","Tue",7,"47"
410,"JSIZITIRN",2023-11-21,08:11:00,"""ass with sauce""","Hanzo","Overwatch","Malevento","N/A","Seb","Deathmatch, Malevento, hanzo",2023,"Nov","Tue",8,"11"
411,"JDOZY",2023-11-21,08:24:00,"""turtle""","N/A","Overwatch","N/A","Rebel","Seb","Rebel, LGBTQ profile, endorsement 3, Private profile",2023,"Nov","Tue",8,"24"
412,"JXRDYYY",2023-11-21,13:37:00,"""why do you have that copy and pasted""","N/A","Overwatch","Colosseo","None","Richard","No name tag, support, Colosseo",2023,"Nov","Tue",13,"37"
413,"TJREX",2023-11-21,13:37:00,NA,"N/A","Overwatch","Colosseo","Nomad","Richard","Nomad, DPS, Colosseo, Unrelenting hero",2023,"Nov","Tue",13,"37"
414,"ScottyJ",2023-11-21,17:22:00,"""sure""","Mercy","Overwatch","N/A","Hero of the Light","Seb","hunted down.",2023,"Nov","Tue",17,"22"
415,"JKBreesy",2023-11-21,17:58:00,"""i'm big doom don't drop the soap""","Doomfist","Overwatch","New Junk City","Graverobber","Seb","New Junk City Skirmish",2023,"Nov","Tue",17,"58"
416,"CJDaCookeCat",2023-11-21,17:58:00,"""hrm""","N/A","Overwatch","Route 66","Stalwart Hero","Seb","Route 66 Stalwart Hero support",2023,"Nov","Tue",17,"58"
417,"DirtyJay",2023-11-22,04:04:00,"""I LOVE YOU""","N/A","Overwatch","Nepal","Stalwart Hero","Seb","Tank, Nepal, Stalwart hero",2023,"Nov","Wed",4,"04"
418,"JJMLF",2023-11-22,04:08:00,"""hiiii ❤❤❤""","N/A","Overwatch","Route 66","Oracle","Seb","Support, Oracle, Route 66",2023,"Nov","Wed",4,"08"
419,"JAYEXE",2023-11-22,04:12:00,"""no ew""","Sombra","Overwatch","Malevento","N/A","Seb","Deathmatch Malevento",2023,"Nov","Wed",4,"12"
420,"JayZeero7",2023-11-22,04:16:00,"""what's your friend's number""","N/A","Overwatch","Kanezaka","N/A","Seb","Deathmatch Kanezaka",2023,"Nov","Wed",4,"16"
421,"PJXDRAGON",2023-11-22,07:52:00,"""i fuck dragons""","Doomfist","Overwatch","Chateau Guillard","N/A","Seb","Deathmatch widowmaker map",2023,"Nov","Wed",7,"52"
422,"JFKxperience",2023-11-22,09:44:00,"""uwu""","N/A","Overwatch","Petra","N/A","Seb","Deathmatch Petra",2023,"Nov","Wed",9,"44"
423,"ANIMEJAYKING",2023-11-22,09:56:00,"""you heard of undead unluck?""","N/A","Overwatch","Kanezaka","N/A","Seb","Deathmatch Kanezaka",2023,"Nov","Wed",9,"56"
424,"JLINKMAN514",2023-11-22,09:56:00,"""no i main dk""","N/A","Overwatch","N/A","Platinum Role Challenger","Seb","Plat role challenger, private profile",2023,"Nov","Wed",9,"56"
425,"RagingJay",2023-11-22,11:06:00,"“?” “anything” “why”","N/A","Overwatch","Petra","N/A","Seb","Deathmatch Petra",2023,"Nov","Wed",11,"06"
426,"JTRET54",2023-11-22,11:06:00,NA,"Winston","Overwatch","Antarctic Peninsula","Mortal","Seb","Mortal, mystery heroes",2023,"Nov","Wed",11,"06"
427,"BigJ5",2023-11-23,20:26:00,"""?""","N/A","Overwatch","New Junk City","Butcher","Basileus","New junk city, Butcher, special character username, 2nd 2024-03-18 Colosseo",2023,"Nov","Thu",20,"26"
428,"NOSCOPEJFK",2023-11-23,07:28:00,"""this is hopeless dude""","N/A","Overwatch","N/A","Stalwart Hero","Seb","Stalwart hero, private profile",2023,"Nov","Thu",7,"28"
429,"JKPOP",2023-11-23,07:30:00,"""pharmercy forever""","Pharah","Overwatch","Busan","Stalwart Hero","Seb","Stalwart hero, busan, pharah",2023,"Nov","Thu",7,"30"
430,"KoopaJ10",2023-11-23,07:32:00,"""i like the vhs ones tho"" ","N/A","Overwatch","Paraiso","Diamond Role Challenger","Seb","Diamond role challenger, dps, Paraíso",2023,"Nov","Thu",7,"32"
431,"JOKERJP",2023-11-23,17:27:00,NA,"N/A","Overwatch","N/A","N/A","Vixx",NA,2023,"Nov","Thu",17,"27"
432,"MONSTERJJ15",2023-11-23,17:27:00,NA,"Widowmaker","Overwatch","N/A","N/A","Vixx",NA,2023,"Nov","Thu",17,"27"
433,"Jay",2023-11-23,17:58:00,"""hm?"" ""quote""","Orisa","Overwatch","N/A","Treasure Goblin","Seb","Treasure Goblin, Orisa, ""hm"" in response to jay questioning",2023,"Nov","Thu",17,"58"
434,"LEEEEJKIIIII",2023-11-24,05:06:00,"""leeeeeeeee""","Widowmaker","Overwatch","Chateau Guillard","N/A","Seb","Deathmatch widowmap",2023,"Nov","Fri",5,"06"
435,"JHILL",2023-11-24,12:37:00,"""hi""","N/A","Overwatch","N/A","Streetrunner","Seb","Streetrunner",2023,"Nov","Fri",12,"37"
436,"OJZ",2023-11-24,12:37:00,"""eat my ass""","N/A","Overwatch","N/A","None","Seb","No nametag",2023,"Nov","Fri",12,"37"
437,"JBUG75",2023-11-24,12:38:00,"""no""","Junkrat","Overwatch","Ilios","None","Seb","no nametag, ilios, junkrat",2023,"Nov","Fri",12,"38"
438,"PrimeRacerJ",2023-11-24,15:03:00,"N/A","Raum","Paladins","Warder's Gate","N/A","Vixx","",2023,"Nov","Fri",15,"03"
439,"JayJayBXNY",2023-11-24,17:38:00,"N/A","Bomb King","Paladins","N/A","Love Machine","verdantJay","",2023,"Nov","Fri",17,"38"
440,"ORJJ",2023-11-25,18:56:00,NA,"N/A","Overwatch","Busan","Officer","Asheya","Officer, canada profile, busan, support, comp",2023,"Nov","Sat",18,"56"
441,"JEJOPADS",2023-11-25,04:53:00,"""jay joe pads :3""","N/A","Overwatch","N/A","Herald of Hermes","Seb","Herald of hermes, prival profile, egg profile pic",2023,"Nov","Sat",4,"53"
442,"ASJ",2023-11-25,04:54:00,"""my initials""","Zenyatta","Overwatch","Dorado","Stalwart Hero","Seb","Stalwart hero, zen, dorado",2023,"Nov","Sat",4,"54"
443,"Jay",2023-11-25,06:29:00,"""its pointless""","Widowmaker","Overwatch","Chateau Guillard","N/A","Seb","Deathmatch, widow, logging out of spite.",2023,"Nov","Sat",6,"29"
444,"JBOSS101VIP123",2023-11-25,09:56:00,"N/A","Rei","Paladins","N/A","N/A","Vixx","",2023,"Nov","Sat",9,"56"
445,"JSels",2023-11-28,18:10:00,"""first""","Ana","Overwatch","N/A","Philosopher","Basileus","Philosopher, ana",2023,"Nov","Tue",18,"10"
446,"Aje",2023-11-28,09:09:00,"""not really. It could also be like AJ""","N/A","Overwatch","N/A","N/A","Seb","Deathmatch, added sebbo afterwards",2023,"Nov","Tue",9,"09"
447,"Pjwags7195",2023-11-28,09:34:00,"""i dont like you""","Cassidy","Overwatch","King's Row","N/A","Seb","Deathmatch, King's row",2023,"Nov","Tue",9,"34"
448,"JcMaybe",2023-11-28,09:35:00,"""something in chat""","Mercy","Overwatch","Rialto","None","Seb","Mercy, Rialto, no nametag",2023,"Nov","Tue",9,"35"
449,"Jrobpibs",2023-11-28,09:44:00,"""say something""","N/A","Overwatch","N/A","None","Seb","No name tag, private profile",2023,"Nov","Tue",9,"44"
450,"JSNAP",2023-11-28,15:00:00,"""if you can dodge a wrench you can dodge my balls""","N/A","Overwatch","N/A","None","Seb","lvl 4 endorsement, private profile",2023,"Nov","Tue",15,"00"
451,"JAYONTAYO",2023-11-28,15:18:00,"""j von tayo why""","N/A","Overwatch","Hollywood","Adept Competitor","Seb","Adept Competitor, Skirmish, Hollywood",2023,"Nov","Tue",15,"18"
452,"FINKLEJMONEY",2023-11-28,NA,"""fuck you i eat your face""","Moira","Overwatch","Hollywood","None","Seb","no name tag, moira, skirmish, hollywood",2023,"Nov","Tue",NA,NA
453,"JLACKIM28",2023-11-29,04:10:00,"""i have 80 million power in rise of kingdoms""","N/A","Overwatch","N/A","Bounty Hunter","Seb","Bounty hunter, private profile",2023,"Nov","Wed",4,"10"
454,"Jhay",2023-11-29,04:22:00,"""hello""","Widowmaker","Overwatch","Eichenwalde","N/A","Seb","Deathmatch Eichenwalde",2023,"Nov","Wed",4,"22"
455,"JTPICKLEBOY",2023-11-29,04:22:00,"""I TURNED MYSELF INTO A PICKLE BRIG I'M PICKLE REIN""","Reinhardt","Overwatch","Oasis","Neogun","Seb","Neogun, rein",2023,"Nov","Wed",4,"22"
456,"JXINL",2023-11-29,04:37:00,"""am i your friend???""","Cassidy","Overwatch","Suravasa","Barbarian","Seb","Custom game",2023,"Nov","Wed",4,"37"
457,"AjHereAgain",2023-11-29,05:24:00,"""uh hi""""ok but why did i have to say hi?""""i'm confused but ok""","N/A","Overwatch","Esperanca","Extraterrestrial","Seb","Esperanca, Extraterrestrial",2023,"Nov","Wed",5,"24"
458,"D2JZ",2023-11-29,05:51:00,"""hey pookies""","Kiriko","Overwatch","Paris","Medic","Seb","Medic, paris",2023,"Nov","Wed",5,"51"
459,"CeejTank",2023-11-29,16:06:00,"""you miss 100% of the shots you dont take"" -wayne gretzky - michael scott","N/A","Overwatch","Blizzard World","N/A","Basileus","Blizzard world",2023,"Nov","Wed",16,"06"
460,"MorganeJXIII",2023-11-30,04:32:00,"""initials ok bye""","N/A","Overwatch","N/A","Treasure Goblin","Seb","Treasure goblin, kiriko, dva, sombra player",2023,"Nov","Thu",4,"32"
461,"SchilzyJ",2023-11-30,12:19:00,"""ns mAN""","Ashe","Overwatch","Shambali Monestary","None","Richard","no name tag, ashe, shambali monastery",2023,"Nov","Thu",12,"19"
462,"STARJ",2023-12-01,10:27:00,NA,"Reinhardt","Overwatch","Hollywood","N/A","Josiad","Hollywood, rein",2023,"Dec","Fri",10,"27"
463,"Jaeri",2023-12-02,20:24:00,"""how i be in that p word #nocap""","Ana","Overwatch","N/A","Deceiver","Vixx","Deceiver, ana player",2023,"Dec","Sat",20,"24"
464,"J1114N",2023-12-03,12:28:00,"""call me polly pocket because barbie owns me""","Mercy","Overwatch","N/A","N/A","Seb","Mercy, no name tag",2023,"Dec","Sun",12,"28"
465,"MNVJ",2023-12-05,09:08:00,NA,"N/A","Overwatch","N/A","Deceiver","Josiad","Deceiver, cat icon",2023,"Dec","Tue",9,"08"
466,"CJ48K",2023-12-05,10:22:00,NA,"Mauga","Overwatch","Gibraltar","Treasure Goblin","Josiad","Treasure Goblin, Mauga, Gibraltar",2023,"Dec","Tue",10,"22"
467,"LORDBJ",2023-12-05,12:52:00,"""on your knees peon""","N/A","Overwatch","Chateau Guillard","N/A","Seb","Deathmatch",2023,"Dec","Tue",12,"52"
468,"SMJ",2023-12-05,15:59:00,NA,"N/A","Overwatch","N/A","N/A","Sqweryl",NA,2023,"Dec","Tue",15,"59"
469,"JBJONNYBOY",2023-12-05,17:20:00,"""who the hell is jonny boy""","N/A","Overwatch","Paraiso","Graverobber","Seb","Graverobber, Paraíso",2023,"Dec","Tue",17,"20"
470,"LESSJSN",2023-12-05,17:31:00,"""yeah from the mercy moaning custom game""","Doomfist","Overwatch","Kanezaka","N/A","Seb","Deathmatch Kanezaka",2023,"Dec","Tue",17,"31"
471,"JJJIGGLES",2023-12-06,18:20:00,"""only on weekends ;)""","Sombra","Overwatch","Numbani","Mercy's Angel","Seb","Mercy's Angel, sombra, Numbani",2023,"Dec","Wed",18,"20"
472,"JWEST96",2023-12-06,19:20:00,"""no""","N/A","Overwatch","Petra","N/A","Seb","Deathmatch Petra",2023,"Dec","Wed",19,"20"
473,"JDawggy",2023-12-06,19:45:00,"""i like him a ton tbh""""i alerady have like 5 hours on mauga"" ""thats sad :(""""ggs sebb"" ","Mauga","Overwatch","King's Row","Subjugator","Seb","Subjugator, Mauga, King's Row",2023,"Dec","Wed",19,"45"
474,"JPTROLL03",2023-12-06,20:01:00,"""this shit aint nothin to me man""","Ana","Overwatch","Eichenwalde","N/A","Seb","Deathmatch Eichenwalde",2023,"Dec","Wed",20,"01"
475,"JGM0722",2023-12-06,04:19:00,"""WRITE THE NAME OF YOUR FAVORITE TEACHER""","Echo","Overwatch","Chateau Guillard","N/A","Seb","Deathmatch Chateau Guillard",2023,"Dec","Wed",4,"19"
476,"MOJAY",2023-12-06,05:05:00,"""i gotta pee""","Ashe","Overwatch","Blizzard World","None","Seb","No name tag, Blizz world, skirmish",2023,"Dec","Wed",5,"05"
477,"JJJ36",2023-12-06,05:05:00,NA,"Cassidy","Overwatch","Blizzard World","None","Seb","No name tag, Blizz world, skirmish",2023,"Dec","Wed",5,"05"
478,"JPECHA",2023-12-06,06:01:00,"""merry christmas""","Hanzo","Overwatch","Blizzard World","N/A","Seb","Deathmatch blizz world",2023,"Dec","Wed",6,"01"
479,"JAYRAYJOHNS",2023-12-07,05:20:00,"""not moana""/""fun game ty all! <3""","N/A","Overwatch","King's Row","Prime Evil","Seb","King's row, tank, prime evil",2023,"Dec","Thu",5,"20"
